time	channel1	channel2	channel3	channel4	channel5	channel6	channel7	channel8	class
1	-2e-05	-5e-05	-4e-05	1e-05	-1e-05	-2e-05	1e-05	0	0
5	-2e-05	-5e-05	-4e-05	1e-05	-1e-05	-2e-05	1e-05	0	0
6	-2e-05	-5e-05	-4e-05	1e-05	-1e-05	-2e-05	1e-05	0	0
7	-2e-05	-5e-05	-4e-05	1e-05	-1e-05	-2e-05	1e-05	0	0
8	-2e-05	-5e-05	-4e-05	1e-05	-1e-05	-2e-05	1e-05	0	0
9	-1e-05	-2e-05	-1e-05	4e-05	2e-05	0	0	1e-05	0
10	-1e-05	-2e-05	-1e-05	4e-05	2e-05	0	0	1e-05	0
11	-1e-05	-2e-05	-1e-05	4e-05	2e-05	0	0	1e-05	0
12	-1e-05	-2e-05	-1e-05	4e-05	2e-05	0	0	1e-05	0
13	-1e-05	-2e-05	-1e-05	4e-05	2e-05	0	0	1e-05	0
14	-1e-05	-2e-05	-1e-05	4e-05	2e-05	0	0	1e-05	0
15	-1e-05	-2e-05	-1e-05	4e-05	2e-05	0	0	1e-05	0
16	-1e-05	-2e-05	-1e-05	4e-05	2e-05	0	0	1e-05	0
17	-1e-05	0	0	-2e-05	0	0	-2e-05	-1e-05	0
18	-1e-05	-1e-05	-1e-05	6e-05	-2e-05	-1e-05	-3e-05	0	0
19	-1e-05	-1e-05	-1e-05	6e-05	-2e-05	-1e-05	-3e-05	0	0
20	-1e-05	-1e-05	-1e-05	6e-05	-2e-05	-1e-05	-3e-05	0	0
21	-1e-05	-1e-05	-1e-05	6e-05	-2e-05	-1e-05	-3e-05	0	0
22	-1e-05	-1e-05	-1e-05	6e-05	-2e-05	-1e-05	-3e-05	0	0
23	-1e-05	-1e-05	-1e-05	6e-05	-2e-05	-1e-05	-3e-05	0	0
24	-1e-05	-1e-05	-1e-05	6e-05	-2e-05	-1e-05	-3e-05	0	0
25	-1e-05	-1e-05	-1e-05	6e-05	-2e-05	-1e-05	-3e-05	0	0
27	-1e-05	-1e-05	-1e-05	6e-05	-2e-05	-1e-05	-3e-05	0	0
28	-1e-05	-1e-05	-1e-05	6e-05	-2e-05	-1e-05	-3e-05	0	0
29	-1e-05	-1e-05	-1e-05	6e-05	-2e-05	-1e-05	-3e-05	0	0
30	-1e-05	-1e-05	-1e-05	6e-05	-2e-05	-1e-05	-3e-05	0	0
31	-1e-05	-1e-05	-1e-05	6e-05	-2e-05	-1e-05	-3e-05	0	0
32	-1e-05	-1e-05	0	-3e-05	-3e-05	0	-1e-05	-2e-05	0
33	-1e-05	-1e-05	0	-3e-05	-3e-05	0	-1e-05	-2e-05	0
34	0	-1e-05	-1e-05	-9e-05	-3e-05	0	-2e-05	-1e-05	0
35	0	-1e-05	-1e-05	-9e-05	-3e-05	0	-2e-05	-1e-05	0
45	0	-1e-05	-1e-05	-9e-05	-3e-05	0	-2e-05	-1e-05	0
46	-2e-05	-2e-05	-1e-05	-3e-05	-2e-05	0	0	-2e-05	0
47	-2e-05	-2e-05	-1e-05	-3e-05	-2e-05	0	0	-2e-05	0
48	-2e-05	-2e-05	-1e-05	-3e-05	-2e-05	0	0	-2e-05	0
49	-2e-05	-2e-05	-1e-05	-3e-05	-2e-05	0	0	-2e-05	0
50	-2e-05	-2e-05	-1e-05	-3e-05	-2e-05	0	0	-2e-05	0
51	-2e-05	-2e-05	-1e-05	-3e-05	-2e-05	0	0	-2e-05	0
52	-2e-05	-2e-05	-1e-05	-3e-05	-2e-05	0	0	-2e-05	0
53	-2e-05	-2e-05	-1e-05	-3e-05	-2e-05	0	0	-2e-05	0
54	-2e-05	-2e-05	-1e-05	-3e-05	-2e-05	0	0	-2e-05	0
